Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,2.785055488,0,2.858373376,27086,2.808060672,53026,2.8765632,134357,2.973266432,186408,3.035002112,280850,3.210274048,590898,3.440192512,1047752,3.776204544,1671193
2,2.769261056,0,2.854131456,27086,2.87779456,54429,2.944529664,137823,2.973989632,186450,3.051460352,281721,3.20901632,589529,3.439259136,1050028,3.746245376,1663484
3,2.799002368,0,2.850582528,27056,2.875406848,54403,2.936203776,137819,2.971145728,186632,3.036954624,280705,3.211210752,590439,3.439448064,1047390,3.757442048,1664767
4,2.770756608,0,2.854349568,27084,2.877389568,54414,2.941082368,137950,2.972867328,186378,3.042533888,281352,3.212399872,590453,3.43948544,1047485,3.758546944,1663130
5,2.787423488,0,2.854641152,27064,2.877576704,54391,2.94125952,137980,2.9730944,186615,3.038550784,280528,3.22312576,590103,3.464005888,1048873,3.747364096,1664988
6,2.772230656,0,2.85619584,27095,2.87832064,54424,2.945929216,138178,2.977117696,186566,3.050682112,281584,3.207117056,590355,3.454874368,1049252,3.87296768,1714828
7,2.77303296,0,2.855871744,27089,2.881940736,54486,2.944771328,137899,2.980701952,186805,3.042548224,281165,3.229349376,591509,3.537401856,1077607,3.872394496,1715868
8,2.77671552,0,2.784067584,26388,2.80786048,52979,2.949448192,138086,2.978819584,186593,3.050463232,281481,3.228511744,592101,3.5458688,1081527,3.755981568,1662384
9,2.77190656,0,2.852219136,27061,2.875862272,54406,2.93794176,137839,2.97090048,186584,3.036451072,280522,3.489055744,642537,3.439994624,1049010,3.8517568,1709731
10,2.78664192,0,2.85594752,27075,2.87834368,54424,2.939473408,137875,2.97136,186545,3.036080896,280619,3.213496576,590789,3.438845952,1047785,3.848697856,1708858
11,2.78036736,0,2.85484672,27088,2.878800384,54438,2.940282368,137930,2.97492352,186397,3.0350272,280503,3.203712512,589943,3.439154176,1047444,3.851115264,1709600
12,2.744896,0,2.852972544,27067,2.877345024,54419,2.938309632,137848,2.97317632,186629,3.041712384,280996,3.204562176,589439,3.450828544,1050283,3.771482368,1668445
13,2.772258048,0,2.85565056,27095,2.879428864,54516,2.94261376,137844,2.971564288,186293,3.042910976,281019,3.209639168,589847,3.449011456,1049703,3.840870656,1708128
median,2.77303296,0,2.854641152,27064,2.877576704,54391,2.941082368,137950,2.97317632,186629,3.041712384,280996,3.211210752,590439,3.440192512,1047752,3.776204544,1671193
